id,created,total,original,discount,tax,deliveryCharge,advance,paymentId,paymentMode,state,style,cancellation
wKEXiBgpRM,11/2/2017,270,245,0,0,25,0,#N/A,#N/A,processing,delivery,#N/A
h2OtV9X1BV,11/2/2017,195,195,0,0,0,0,#N/A,#N/A,initiated,inStore,#N/A
Kiqb3cSdlS,11/2/2017,365,365,0,0,0,0,card1486824628270,card,delivered,inStore,#N/A
IAObHwgEPT,11/2/2017,245.25,265,39.75,0,20,0,zomato online,other,delivered,delivery,#N/A
nR31JKc4DX,11/2/2017,390,390,0,0,0,0,cash1486808956626,cash,delivered,inStore,#N/A
hikseq4tNM,11/2/2017,325,325,0,0,0,0,zomato onlie,other,delivered,delivery,#N/A
ecpje6ZqEb,11/2/2017,270.75,315,44.25,0,0,0,zomato online,other,delivered,delivery,#N/A
4olSHcQcLa,11/2/2017,710,710,0,0,0,0,cash1486808879779,cash,delivered,inStore,#N/A
PovFX2LovJ,11/2/2017,270,270,0,0,0,0,cash1486808904028,cash,delivered,delivery,#N/A
HDg6knFMfP,11/2/2017,625,625,0,0,0,0,card1486807376303,card,delivered,inStore,#N/A
PBG3w2zqz1,11/2/2017,440,440,0,0,0,0,card1486806546883,card,delivered,inStore,#N/A
KlyhzE9Mc8,11/2/2017,150,150,0,0,0,0,cash1486807411123,cash,delivered,inStore,#N/A
xSDVESCXFz,11/2/2017,295,245,0,0,50,0,cash1486804575401,cash,delivered,delivery,#N/A
VDQcsCe3LO,11/2/2017,480,480,0,0,0,0,card1486804636451,card,delivered,inStore,#N/A
epAHIO2vE8,11/2/2017,925,925,0,0,0,0,#N/A,#N/A,initiated,inStore,#N/A
b3nb5ymcf3,11/2/2017,270,245,0,0,25,0,cash1486804597294,cash,delivered,delivery,#N/A
tpIo0PPeKR,11/2/2017,820,820,0,0,0,0,card1486803381709,card,delivered,inStore,#N/A
VoJXwOXMZq,11/2/2017,985,960,0,0,25,0,card1486800014536,card,delivered,delivery,#N/A
lGhYyVoNRn,11/2/2017,120,120,0,0,0,0,cash1486798185401,cash,delivered,delivery,#N/A
KBCCm8B9p2,11/2/2017,265,265,0,0,0,0,cash1486800046798,cash,delivered,delivery,#N/A
PCtw6gFK7k,11/2/2017,895,870,0,0,25,0,cash1486800071584,cash,delivered,delivery,#N/A
YnhqkfKdk6,10/2/2017,245,225,0,0,20,0,cash1486750274664,cash,delivered,delivery,#N/A
opnxJfh82e,10/2/2017,225,225,0,0,0,0,cash1486748076850,cash,delivered,inStore,#N/A
PRAPmuvHCN,10/2/2017,1320.5,1510,229.5,0,40,0,zomato online,other,delivered,delivery,#N/A
ljYuxNFRYd,10/2/2017,340,340,0,0,0,0,cash1486748012040,cash,delivered,inStore,#N/A
EZ8jkOsAd3,10/2/2017,245,245,0,0,0,0,cash1486745858727,cash,delivered,inStore,#N/A
RDPJPVBkGt,10/2/2017,301,320,59,0,40,0,zomato online,other,delivered,delivery,#N/A
S2I1PE7sJ4,10/2/2017,275,300,45,0,20,0,zomato online,other,delivered,delivery,#N/A
YndoSbHZLD,10/2/2017,750,750,0,0,0,0,cash1486747433616,cash,delivered,inStore,#N/A
P0VjS8FntP,10/2/2017,315,315,0,0,0,0,cash1486747766650,cash,delivered,delivery,#N/A
WOwVcmOHSL,10/2/2017,195,195,0,0,0,0,cash1486745079753,cash,delivered,delivery,#N/A
PDRwFesvyq,10/2/2017,650,650,0,0,0,0,cash1486745130512,cash,delivered,inStore,#N/A
Qc0mrgqeAA,10/2/2017,814.75,935,140.25,0,20,0,cash1486745400156,cash,delivered,delivery,#N/A
xBDWjeoz7q,10/2/2017,710,710,0,0,0,0,card1486745626683,card,delivered,inStore,#N/A
oCWgLoYZFh,10/2/2017,630,630,0,0,0,0,#N/A,#N/A,cancelled,inStore,Added this by mistake
KCt38RzNS4,10/2/2017,410,385,0,0,25,0,cash1486746907353,cash,delivered,delivery,#N/A
voKfOjsK1o,10/2/2017,15,15,0,0,0,0,cash1486742286202,cash,delivered,inStore,#N/A
cq0YLGKeDN,10/2/2017,245,245,0,0,0,0,cash1486738755916,cash,delivered,inStore,#N/A
OANsDQEpYV,10/2/2017,225,225,0,0,0,0,cash1486736365117,cash,delivered,inStore,#N/A
m4tQD7xM3W,10/2/2017,120,120,0,0,0,0,cash1486737212517,cash,delivered,delivery,#N/A
pbIqPHklek,10/2/2017,283.5,320,46.5,0,10,0,cash1486737236603,cash,delivered,delivery,#N/A
NdPUVF5tyy,10/2/2017,420,420,0,0,0,0,cash1486736097562,cash,delivered,inStore,#N/A
khVqB4Dj6t,10/2/2017,1630,1630,0,0,0,0,#N/A,#N/A,cancelled,inStore,Added this by mistake
2fIpqxJYwD,10/2/2017,265,265,0,0,0,0,swuggy online,other,delivered,inStore,#N/A
zJKKrVJXZB,10/2/2017,490,490,0,0,0,0,cash1486720438011,cash,delivered,inStore,#N/A
A6rK8Xl4hm,10/2/2017,249.5,270,40.5,0,20,0,zomato online,other,delivered,delivery,#N/A
F4q8bT7qy8,10/2/2017,540,490,0,0,50,0,cash1486717877352,cash,delivered,delivery,#N/A
7vpSXqsm3a,10/2/2017,250,225,0,0,25,0,cash1486717898782,cash,delivered,delivery,#N/A
eamE9qduuO,10/2/2017,949,1055,106,0,0,0,cash1486748963674,cash,delivered,inStore,#N/A
tvbRdYEYbd,10/2/2017,735,735,0,0,0,0,cash1486713000079,cash,delivered,inStore,#N/A
TxoBgRTT6g,10/2/2017,795,795,0,0,0,0,card1486712462558,card,delivered,inStore,#N/A
1iAoaFYDLM,10/2/2017,1015,990,0,0,25,0,cash1486736077245,cash,delivered,delivery,#N/A
OAAXZL0xM2,10/2/2017,1530,1480,0,0,50,0,card1486713821362,card,delivered,delivery,#N/A
pqVfkksIkl,9/2/2017,225,225,0,0,0,0,swiggy,other,delivered,inStore,#N/A
UWc5lwDB1K,9/2/2017,220,220,0,0,0,0,cash1486661047792,cash,delivered,inStore,#N/A
Rc4poIDHD8,9/2/2017,315,315,0,0,0,0,card1486660053131,card,delivered,inStore,#N/A
i6xPMEAc2O,9/2/2017,280,280,0,0,0,0,cash1486658557643,cash,delivered,delivery,#N/A
ZcQw8aM7Hr,9/2/2017,560,560,0,0,0,0,card1486658781462,card,delivered,delivery,#N/A
R7HoHHI0cv,9/2/2017,1010.25,1165,174.75,0,20,0,cash1486657664863,cash,delivered,delivery,#N/A
aMZfQqf75l,9/2/2017,215,195,0,0,20,0,cash1486659366143,cash,delivered,delivery,#N/A
cy5y1MCOhk,9/2/2017,576.75,645,98.25,0,30,0,zomato online,other,delivered,delivery,#N/A
gkp0ZhuB1a,9/2/2017,490,490,0,0,0,0,cash1486655429720,cash,delivered,delivery,#N/A
hwlSSfOCxH,9/2/2017,325,325,0,0,0,0,cash1486653820704,cash,delivered,inStore,#N/A
NiIJRvSBQf,9/2/2017,565,565,0,0,0,0,card1486652625428,card,delivered,delivery,#N/A
p1JDWYYBW5,9/2/2017,510,510,0,0,0,0,card1486651983467,card,delivered,inStore,#N/A
BDIDQyxkjB,9/2/2017,120,120,0,0,0,0,cash1486648091178,cash,delivered,delivery,#N/A
X7ETEPz7SD,9/2/2017,230,230,0,0,0,0,cash1486646197676,cash,delivered,inStore,#N/A
77IlAZmhLd,9/2/2017,1255,1255,0,0,0,0,#N/A,#N/A,cancelled,inStore,Added this by mistake
SDSRev6prD,9/2/2017,325,325,0,0,0,0,swiggy,other,delivered,delivery,#N/A
LQagc3ie1Q,9/2/2017,300.5,330,49.5,0,20,0,zomato online,other,delivered,delivery,#N/A
DbaL95xrih,9/2/2017,265,245,0,0,20,0,zomato online,other,delivered,delivery,#N/A
kgUYWdNtF7,9/2/2017,558,620,62,0,0,0,cash1486662656409,cash,delivered,inStore,#N/A
6VYgXuZdsN,8/2/2017,283.5,310,46.5,0,20,0,cash1486574699141,cash,delivered,delivery,#N/A
